,ID,Host Since,property_type,city_orig,state_orig,country_code,Country,Latitude,Longitude,postal_code,Geolocation,host_since_year,City,State,zip_latitude,zip_longitude
45,515970,2012-05-27,Apartment,Paris,IDF,FR,France,48.85451946378233,2.3657113179989033,75004,"48.85451946378233, 2.3657113179989033",2012.0,Paris,Île-de-France,48.8534,2.3488
46,515970,2012-05-27,Apartment,Paris,IDF,FR,France,48.85451946378233,2.3657113179989033,75004,"48.85451946378233, 2.3657113179989033",2012.0,Paris 04,Île-de-France,48.8601,2.3507
47,3144316,2014-05-20,Apartment,Paris,Île-de-France,FR,France,48.85700449555545,2.358325752229841,75004,"48.85700449555545, 2.358325752229841",2014.0,Paris,Île-de-France,48.8534,2.3488
48,3144316,2014-05-20,Apartment,Paris,Île-de-France,FR,France,48.85700449555545,2.358325752229841,75004,"48.85700449555545, 2.358325752229841",2014.0,Paris 04,Île-de-France,48.8601,2.3507
49,10740199,2016-01-21,Apartment,Paris,Île-de-France,FR,France,48.859307031739995,2.356586821113112,75004,"48.859307031739995, 2.3565868211131122",2016.0,Paris,Île-de-France,48.8534,2.3488
50,10740199,2016-01-21,Apartment,Paris,Île-de-France,FR,France,48.859307031739995,2.356586821113112,75004,"48.859307031739995, 2.3565868211131122",2016.0,Paris 04,Île-de-France,48.8601,2.3507
51,14066448,2015-11-17,Apartment,Paris,Île-de-France,FR,France,48.85636649928414,2.357206060204442,75004,"48.85636649928414, 2.357206060204442",2015.0,Paris,Île-de-France,48.8534,2.3488
52,14066448,2015-11-17,Apartment,Paris,Île-de-France,FR,France,48.85636649928414,2.357206060204442,75004,"48.85636649928414, 2.357206060204442",2015.0,Paris 04,Île-de-France,48.8601,2.3507
53,10076940,2014-11-05,Apartment,Paris,Île-de-France,FR,France,48.85728043115895,2.3598989320400876,75004,"48.85728043115895, 2.3598989320400876",2014.0,Paris,Île-de-France,48.8534,2.3488
54,10076940,2014-11-05,Apartment,Paris,Île-de-France,FR,France,48.85728043115895,2.3598989320400876,75004,"48.85728043115895, 2.3598989320400876",2014.0,Paris 04,Île-de-France,48.8601,2.3507
55,8500219,2011-11-01,Apartment,Paris,Île-de-France,FR,France,48.85800167814933,2.3543425209793205,75004,"48.85800167814933, 2.3543425209793205",2011.0,Paris,Île-de-France,48.8534,2.3488
